 Ciclo "Estado Médio" "Limiar Médio"  Aglomerados
     0   -0.0013   -0.0016      8682
     1   -0.0012   -0.0017      6011
     2   -0.0077   -0.0075      4521
     3   -0.0136   -0.0150      3911
     4   -0.0198   -0.0256      3231
     5   -0.0269   -0.0406      2801
     6   -0.0260   -0.0522      2257
     7   -0.0179   -0.0586      1823
     8   -0.0085   -0.0610      1771
     9    0.0018   -0.0580      1683
    10    0.0124   -0.0491      1621
    11    0.0264   -0.0305      1546
    12    0.0378   -0.0102      1521
    13    0.0471    0.0152      1493
    14    0.0552    0.0451      1392
    15    0.0583    0.0759      1190
    16    0.0568    0.1036       980
    17    0.0557    0.1299       792
    18    0.0532    0.1563       719
    19    0.0473    0.1782       693
    20    0.0398    0.1948       751
    21    0.0296    0.2075       754
    22    0.0125    0.2092       865
    23   -0.0104    0.1964      1013
    24   -0.0406    0.1695      1139
    25   -0.0724    0.1240      1237
    26   -0.1005    0.0675      1268
    27   -0.1203    0.0027      1419
    28   -0.1296   -0.0652      1478
    29   -0.1296   -0.1306      1538
    30   -0.1209   -0.1901      1364
    31   -0.1069   -0.2399      1094
    32   -0.0958   -0.2854      1002
    33   -0.0824   -0.3248       881
    34   -0.0689   -0.3541       868
    35   -0.0494   -0.3736       798
    36   -0.0274   -0.3812       934
    37   -0.0046   -0.3767       952
    38    0.0193   -0.3622      1028
    39    0.0476   -0.3342      1157
    40    0.0775   -0.2869      1193
    41    0.1089   -0.2260      1170
    42    0.1369   -0.1497      1180
    43    0.1580   -0.0655      1190
    44    0.1655    0.0222      1139
    45    0.1578    0.1017      1189
    46    0.1436    0.1717      1045
    47    0.1270    0.2321       959
    48    0.1063    0.2799       966
    49    0.0852    0.3174       924
    50    0.0613    0.3407       946
    51    0.0392    0.3545      1005
    52    0.0177    0.3595      1109
    53    0.0003    0.3560      1081
    54   -0.0107    0.3472       989
    55   -0.0192    0.3353       995
    56   -0.0362    0.3132      1013
    57   -0.0580    0.2780      1247
    58   -0.0879    0.2256      1402
    59   -0.1110    0.1628      1432
    60   -0.1285    0.0935      1349
    61   -0.1365    0.0232      1279
    62   -0.1307   -0.0404      1113
    63   -0.1222   -0.0989      1068
    64   -0.1133   -0.1520      1009
    65   -0.1039   -0.2013      1015
    66   -0.0988   -0.2482      1057
    67   -0.0888   -0.2904      1066
    68   -0.0772   -0.3260       989
    69   -0.0667   -0.3586      1081
    70   -0.0559   -0.3826      1294
    71   -0.0366   -0.3957      1432
    72   -0.0061   -0.3891      1357
    73    0.0332   -0.3634      1438
    74    0.0725   -0.3155      1376
    75    0.1121   -0.2498      1096
    76    0.1426   -0.1694      1051
    77    0.1605   -0.0824       998
    78    0.1679    0.0017       924
    79    0.1655    0.0833       959
    80    0.1542    0.1588      1030
    81    0.1374    0.2222       949
    82    0.1179    0.2766      1002
    83    0.0990    0.3201      1028
    84    0.0808    0.3550      1064
    85    0.0601    0.3806      1056
    86    0.0344    0.3913      1090
    87    0.0012    0.3827      1202
    88   -0.0311    0.3578      1326
    89   -0.0606    0.3188      1403
    90   -0.0883    0.2674      1359
    91   -0.1081    0.2074      1375
    92   -0.1175    0.1468      1174
    93   -0.1179    0.0886      1070
    94   -0.1168    0.0304      1062
    95   -0.1096   -0.0237      1048
    96   -0.1013   -0.0704      1165
    97   -0.0919   -0.1136      1017
    98   -0.0836   -0.1510      1038
    99   -0.0828   -0.1910      1055
   100   -0.0781   -0.2279      1132
   101   -0.0710   -0.2623      1147
   102   -0.0603   -0.2919      1233
   103   -0.0432   -0.3091      1238
   104   -0.0221   -0.3156      1309
   105    0.0004   -0.3105      1351
   106    0.0257   -0.2920      1313
   107    0.0450   -0.2644      1184
   108    0.0673   -0.2267      1071
   109    0.0879   -0.1772       966
   110    0.1058   -0.1187      1029
   111    0.1186   -0.0578      1054
   112    0.1271    0.0076      1049
   113    0.1346    0.0757       982
   114    0.1333    0.1422      1013
   115    0.1213    0.1986      1040
   116    0.1065    0.2472      1008
   117    0.0846    0.2821      1022
   118    0.0615    0.3077      1180
   119    0.0359    0.3195      1255
   120    0.0018    0.3118      1332
   121   -0.0284    0.2900      1333
   122   -0.0556    0.2569      1220
   123   -0.0831    0.2111      1271
   124   -0.1027    0.1557      1307
   125   -0.1143    0.0974      1095
   126   -0.1140    0.0406       999
   127   -0.1069   -0.0119       993
   128   -0.0994   -0.0593      1020
   129   -0.0910   -0.1034      1017
   130   -0.0843   -0.1425      1107
   131   -0.0733   -0.1749      1075
   132   -0.0600   -0.2022      1199
   133   -0.0393   -0.2180      1186
   134   -0.0153   -0.2203      1201
   135    0.0070   -0.2099      1216
   136    0.0256   -0.1908      1132
   137    0.0382   -0.1686      1149
   138    0.0496   -0.1414      1159
   139    0.0583   -0.1112      1134
   140    0.0614   -0.0773      1007
   141    0.0603   -0.0478      1142
   142    0.0564   -0.0181      1095
   143    0.0523    0.0076      1108
   144    0.0492    0.0318      1136
   145    0.0434    0.0511      1103
   146    0.0353    0.0657      1137
   147    0.0255    0.0753      1231
   148    0.0181    0.0819      1265
   149    0.0143    0.0893      1130
   150    0.0133    0.0972      1128
   151    0.0159    0.1056      1113
   152    0.0158    0.1128      1178
   153    0.0100    0.1156      1194
   154    0.0050    0.1154      1334
   155    0.0005    0.1142      1242
   156   -0.0017    0.1130      1201
   157   -0.0055    0.1101      1192
   158   -0.0087    0.1046      1135
   159   -0.0147    0.0954      1039
   160   -0.0236    0.0798      1096
   161   -0.0317    0.0606      1118
   162   -0.0424    0.0386      1095
   163   -0.0502    0.0115      1111
   164   -0.0579   -0.0201      1211
   165   -0.0655   -0.0567      1222
   166   -0.0706   -0.0909      1203
   167   -0.0726   -0.1278      1295
   168   -0.0692   -0.1630      1305
   169   -0.0552   -0.1879      1305
   170   -0.0368   -0.2022      1162
   171   -0.0190   -0.2072      1169
   172    0.0028   -0.1990      1162
   173    0.0226   -0.1824      1106
   174    0.0399   -0.1588      1114
   175    0.0560   -0.1271      1137
   176    0.0712   -0.0877      1203
   177    0.0837   -0.0421      1126
   178    0.0891    0.0039      1123
   179    0.0870    0.0466      1103
   180    0.0817    0.0864      1110
   181    0.0743    0.1224      1131
   182    0.0643    0.1533      1140
   183    0.0515    0.1757      1171
   184    0.0352    0.1879      1218
   185    0.0157    0.1915      1180
   186   -0.0028    0.1842      1208
   187   -0.0226    0.1660      1260
   188   -0.0366    0.1434      1212
   189   -0.0413    0.1208      1130
   190   -0.0420    0.1000      1128
   191   -0.0418    0.0767      1144
   192   -0.0417    0.0555      1101
   193   -0.0412    0.0362      1118
   194   -0.0398    0.0165      1143
   195   -0.0377   -0.0026      1213
   196   -0.0316   -0.0178      1193
   197   -0.0255   -0.0294      1158
   198   -0.0250   -0.0408      1149
   199   -0.0276   -0.0566      1136
   200   -0.0331   -0.0732      1163
   201   -0.0322   -0.0918      1216
   202   -0.0278   -0.1055      1132
   203   -0.0276   -0.1188      1188
   204   -0.0255   -0.1302      1252
   205   -0.0216   -0.1420      1206
   206   -0.0191   -0.1499      1275
   207   -0.0088   -0.1518      1269
   208    0.0046   -0.1477      1184
   209    0.0173   -0.1363      1181
   210    0.0310   -0.1185      1143
   211    0.0493   -0.0913      1156
   212    0.0647   -0.0589      1186
   213    0.0789   -0.0167      1168
   214    0.0882    0.0300      1164
   215    0.0921    0.0790      1098
   216    0.0886    0.1225      1106
   217    0.0796    0.1596      1092
   218    0.0640    0.1870      1136
   219    0.0481    0.2055      1182
   220    0.0288    0.2166      1214
   221    0.0076    0.2159      1197
   222   -0.0109    0.2057      1229
   223   -0.0316    0.1848      1228
   224   -0.0459    0.1576      1213
   225   -0.0553    0.1272      1156
   226   -0.0616    0.0942      1141
   227   -0.0647    0.0610      1160
   228   -0.0655    0.0263      1145
   229   -0.0638   -0.0056      1197
   230   -0.0597   -0.0350      1247
   231   -0.0522   -0.0606      1224
   232   -0.0439   -0.0830      1226
   233   -0.0339   -0.0976      1228
   234   -0.0239   -0.1068      1171
   235   -0.0197   -0.1145      1136
   236   -0.0176   -0.1244      1138
   237   -0.0147   -0.1308      1204
   238   -0.0113   -0.1343      1181
   239   -0.0074   -0.1360      1170
   240   -0.0010   -0.1334      1209
   241    0.0021   -0.1314      1327
   242    0.0078   -0.1248      1215
   243    0.0139   -0.1151      1248
   244    0.0231   -0.1034      1200
   245    0.0339   -0.0840      1086
   246    0.0450   -0.0598      1060
   247    0.0576   -0.0266      1094
   248    0.0638    0.0059      1091
   249    0.0679    0.0416      1156
   250    0.0714    0.0800      1231
   251    0.0722    0.1175      1134
   252    0.0680    0.1503      1114
   253    0.0572    0.1775      1142
   254    0.0428    0.1959      1162
   255    0.0246    0.2031      1215
   256    0.0051    0.2022      1200
   257   -0.0162    0.1895      1241
   258   -0.0377    0.1659      1258
   259   -0.0570    0.1332      1203
   260   -0.0763    0.0899      1305
   261   -0.0858    0.0451      1219
   262   -0.0884    0.0015      1191
   263   -0.0828   -0.0384      1180
   264   -0.0763   -0.0742      1178
   265   -0.0658   -0.1042      1196
   266   -0.0532   -0.1273      1231
   267   -0.0393   -0.1421      1287
   268   -0.0222   -0.1491      1244
   269   -0.0093   -0.1497      1227
   270    0.0007   -0.1450      1129
   271    0.0088   -0.1387      1137
   272    0.0149   -0.1303      1104
   273    0.0188   -0.1206      1125
   274    0.0215   -0.1086      1154
   275    0.0281   -0.0934      1109
   276    0.0353   -0.0752      1115
   277    0.0348   -0.0558      1213
   278    0.0379   -0.0364      1247
   279    0.0407   -0.0159      1183
   280    0.0473    0.0078      1152
   281    0.0532    0.0347      1117
   282    0.0557    0.0644      1131
   283    0.0582    0.0933      1186
   284    0.0565    0.1211      1222
   285    0.0519    0.1475      1218
   286    0.0458    0.1692      1143
   287    0.0356    0.1851      1099
   288    0.0220    0.1947      1049
   289    0.0048    0.1913      1180
   290   -0.0140    0.1788      1196
   291   -0.0335    0.1591      1172
   292   -0.0520    0.1279      1208
   293   -0.0671    0.0907      1197
   294   -0.0819    0.0478      1235
   295   -0.0869    0.0011      1383
   296   -0.0866   -0.0401      1289
   297   -0.0782   -0.0792      1227
   298   -0.0667   -0.1084      1288
   299   -0.0543   -0.1315      1207
   300   -0.0414   -0.1497      1152
   301   -0.0259   -0.1599      1149
   302   -0.0108   -0.1623      1218
   303    0.0044   -0.1580      1202
   304    0.0195   -0.1433      1073
   305    0.0324   -0.1249      1014
   306    0.0408   -0.1027      1075
   307    0.0443   -0.0774      1062
   308    0.0446   -0.0565      1144
   309    0.0416   -0.0371      1128
   310    0.0359   -0.0195      1160
   311    0.0320   -0.0032      1227
   312    0.0265    0.0079      1258
   313    0.0208    0.0172      1309
   314    0.0175    0.0240      1301
   315    0.0184    0.0336      1243
   316    0.0204    0.0456      1155
   317    0.0236    0.0567      1126
   318    0.0236    0.0685      1132
